Time,total_freq,BMW,DATSUN,FORD,HONDA,JAGUAR,MARUTI,NISSAN,TATA,TOYOTA
05-02-2016 13:00,67,11,49,3,1,0,5,0,3,1
05-02-2016 13:05,76,5,35,7,13,3,1,0,2,2
05-02-2016 13:10,97,15,55,9,0,0,3,5,2,4
05-02-2016 13:15,47,8,23,10,1,1,1,0,2,2
05-02-2016 13:20,71,4,18,5,2,2,4,0,9,0
05-02-2016 13:25,87,4,41,7,4,3,3,0,1,9
05-02-2016 13:30,98,6,12,3,4,1,4,1,10,6
05-02-2016 13:35,78,5,19,6,9,0,3,0,4,1
05-02-2016 13:40,63,3,12,1,0,0,0,0,3,0
05-02-2016 13:45,80,9,63,1,1,2,1,2,3,6
05-02-2016 13:50,58,7,39,0,0,1,0,1,0,9
05-02-2016 13:55,63,3,24,9,0,5,1,3,5,0
05-02-2016 14:00,71,9,39,1,1,0,2,1,5,0
05-02-2016 14:05,74,7,25,0,10,3,0,5,3,0
05-02-2016 14:10,49,6,2,0,4,2,0,3,3,0
05-02-2016 14:15,85,11,5,2,0,0,1,0,8,1
05-02-2016 14:20,64,2,0,6,0,2,0,8,2,0
05-02-2016 14:25,69,5,3,4,3,2,1,1,5,4
05-02-2016 14:30,53,4,2,0,5,0,1,3,1,3
05-02-2016 14:35,41,5,2,0,1,1,2,0,4,0
05-02-2016 14:40,60,3,11,0,4,1,2,0,0,0
05-02-2016 14:45,63,22,25,0,1,0,1,1,1,0
05-02-2016 14:50,52,4,7,0,1,3,1,7,2,0
05-02-2016 14:55,65,3,12,0,0,0,3,3,7,2
05-02-2016 15:00,30,5,3,0,1,0,0,1,2,0
05-02-2016 15:05,38,2,3,0,1,0,2,0,1,0
05-02-2016 15:10,30,1,3,1,0,0,1,2,1,0
05-02-2016 15:15,62,2,11,0,4,0,2,0,1,3
05-02-2016 15:20,41,8,12,13,0,1,0,0,0,0
05-02-2016 15:25,36,7,11,8,0,2,0,0,0,0
05-02-2016 15:30,46,4,3,0,0,2,3,0,0,5
05-02-2016 15:35,32,2,1,7,1,1,0,0,1,3
05-02-2016 15:40,46,3,3,0,0,1,0,0,1,2
05-02-2016 15:45,31,2,5,2,2,1,0,0,0,1
05-02-2016 15:50,36,0,0,0,1,2,0,0,2,3
05-02-2016 15:55,34,10,4,0,0,0,2,2,3,0
05-02-2016 16:00,42,2,2,2,0,0,2,3,1,0
05-02-2016 16:05,40,7,0,2,1,4,2,0,1,1
05-02-2016 16:10,34,1,6,0,1,1,2,0,1,0
05-02-2016 16:15,33,2,0,0,0,0,3,0,1,0
05-02-2016 16:20,39,2,6,1,0,1,4,0,1,1
05-02-2016 16:25,38,3,0,6,0,0,1,0,1,1
05-02-2016 16:30,48,1,3,0,0,4,2,1,1,0
05-02-2016 16:35,39,2,3,2,4,5,0,0,9,0
05-02-2016 16:40,32,7,3,0,5,1,1,0,1,0
05-02-2016 16:45,0,0,0,0,0,0,0,0,0,0
05-02-2016 16:50,50,1,10,4,1,0,2,3,5,2
05-02-2016 16:55,45,2,11,0,0,11,1,4,0,2
05-02-2016 17:00,44,2,3,0,1,10,0,0,6,2
05-02-2016 17:05,37,0,3,2,1,6,4,0,3,1
05-02-2016 17:10,21,2,3,0,8,0,1,0,1,0
05-02-2016 17:15,40,2,0,2,2,3,0,1,2,0
05-02-2016 17:20,32,3,0,7,2,2,1,0,3,0
05-02-2016 17:25,19,0,3,0,0,1,0,0,0,0
05-02-2016 17:30,23,2,0,0,0,1,0,0,4,0
05-02-2016 17:35,32,4,3,0,1,3,0,1,0,2
05-02-2016 17:40,38,0,2,3,2,2,5,0,1,1
05-02-2016 17:45,24,0,3,0,2,0,2,1,0,0
05-02-2016 17:50,7,0,0,0,0,0,1,0,0,0
05-02-2016 17:55,12,0,0,0,0,0,0,0,1,0
05-02-2016 18:00,15,0,3,0,0,0,0,0,1,1
05-02-2016 18:05,20,4,0,0,0,6,0,0,2,0
05-02-2016 18:10,24,0,3,0,0,2,1,1,0,0
05-02-2016 18:15,20,0,0,2,0,2,0,0,1,0
05-02-2016 18:20,30,1,0,4,0,3,2,0,0,2
05-02-2016 18:25,22,5,3,1,0,0,0,0,0,0
05-02-2016 18:30,12,5,3,0,0,2,0,0,0,0
05-02-2016 18:35,9,0,0,0,0,4,1,0,0,0
05-02-2016 18:40,14,3,0,0,0,1,1,0,1,0
05-02-2016 18:45,15,1,1,0,0,4,0,1,2,0
05-02-2016 18:50,18,2,0,4,0,0,0,0,0,1
05-02-2016 18:55,21,6,0,1,0,0,0,0,2,0
05-02-2016 19:00,21,0,1,0,0,0,1,0,1,0
05-02-2016 19:05,35,0,0,0,0,0,0,0,0,49
05-02-2016 19:10,27,6,3,0,1,0,1,0,0,1
05-02-2016 19:15,22,0,0,0,4,0,2,0,0,3
05-02-2016 19:20,13,0,1,0,0,0,0,0,0,1
05-02-2016 19:25,9,1,0,0,0,1,0,0,0,0
05-02-2016 19:30,15,1,0,0,0,1,0,0,0,1
05-02-2016 19:35,12,0,0,0,0,1,0,0,0,0
05-02-2016 19:40,14,0,0,1,0,0,0,0,3,0
05-02-2016 19:45,6,0,3,0,2,0,0,0,0,0
05-02-2016 19:50,7,4,0,0,0,0,0,0,0,0
05-02-2016 19:55,8,0,0,0,0,0,0,0,0,0
05-02-2016 20:00,13,0,3,0,1,0,0,0,2,0
05-02-2016 20:05,14,0,0,0,0,1,0,0,1,3
05-02-2016 20:10,15,0,0,1,0,0,1,1,0,0
05-02-2016 20:15,9,0,2,0,0,1,0,0,1,0
05-02-2016 20:20,11,1,0,2,2,2,0,0,0,0
05-02-2016 20:25,11,1,0,0,0,1,0,0,1,0
05-02-2016 20:30,11,0,0,0,0,0,2,0,0,0
05-02-2016 20:35,8,0,0,0,0,2,0,0,2,0
05-02-2016 20:40,4,0,0,1,0,1,0,1,0,0
05-02-2016 20:45,11,0,2,0,0,1,0,0,2,1
05-02-2016 20:50,5,1,0,0,0,0,0,0,0,0
05-02-2016 20:55,9,0,0,0,0,0,0,0,1,0
05-02-2016 21:00,4,0,0,3,0,0,0,0,0,0
05-02-2016 21:05,2,0,0,0,0,0,0,0,1,0
05-02-2016 21:10,7,0,0,0,0,0,0,0,0,0
05-02-2016 21:15,7,0,0,0,0,0,0,0,0,0
05-02-2016 21:20,6,0,0,0,0,0,0,0,0,0
05-02-2016 21:25,1,0,0,0,0,0,0,0,0,0
05-02-2016 21:30,13,1,0,2,0,5,0,0,0,1
05-02-2016 21:35,3,0,0,0,0,2,0,0,0,0
05-02-2016 21:40,2,0,0,0,0,0,0,0,0,0
05-02-2016 21:45,1,0,0,0,0,1,0,0,0,0
05-02-2016 21:50,2,0,1,0,0,0,0,1,0,0
05-02-2016 21:55,4,0,1,0,0,0,0,2,0,0
05-02-2016 22:00,3,0,0,0,0,1,0,0,0,0
05-02-2016 22:05,7,1,2,0,0,0,1,0,0,0
05-02-2016 22:10,0,0,0,0,0,0,0,0,0,0
05-02-2016 22:15,6,0,0,0,0,1,0,0,0,0
05-02-2016 22:20,9,0,5,0,0,1,0,4,0,0
05-02-2016 22:25,3,0,1,0,0,0,0,2,0,1
05-02-2016 22:30,3,0,0,0,0,0,0,0,0,0
05-02-2016 22:35,5,0,1,0,0,0,0,3,1,0
05-02-2016 22:40,4,0,0,0,0,0,0,2,0,0
05-02-2016 22:45,3,0,0,0,0,0,1,0,0,0
05-02-2016 22:50,6,0,0,0,0,0,0,0,0,0
05-02-2016 22:55,5,0,0,0,1,0,0,0,0,0
05-02-2016 23:00,10,0,0,0,0,0,2,0,1,0
05-02-2016 23:05,2,0,0,0,0,0,0,0,0,0
05-02-2016 23:10,3,0,0,0,0,0,0,0,0,0
05-02-2016 23:15,1,0,0,0,0,0,0,0,0,0
05-02-2016 23:20,5,0,0,0,0,1,0,0,2,0
05-02-2016 23:25,50,91,0,0,0,2,0,2,0,0
05-02-2016 23:30,43,77,0,0,0,0,0,0,0,0
05-02-2016 23:35,6,2,0,0,0,0,0,0,2,0
05-02-2016 23:40,2,2,0,0,0,0,0,0,0,0
05-02-2016 23:45,2,0,0,0,0,0,0,0,0,0
05-02-2016 23:50,0,0,0,0,0,0,0,0,0,0
05-02-2016 23:55,2,0,0,0,0,0,0,0,0,0
06-02-2016 00:00,39,65,0,0,0,1,0,0,0,0
06-02-2016 00:05,3,0,0,0,0,0,0,0,0,0
06-02-2016 00:10,8,0,0,0,0,2,0,0,2,0
06-02-2016 00:15,17,0,0,0,0,0,0,0,0,0
06-02-2016 00:20,9,1,0,0,0,0,0,0,0,0
06-02-2016 00:25,3,0,0,0,0,0,2,0,2,0
06-02-2016 00:30,9,0,0,0,0,0,0,0,1,0
06-02-2016 00:35,9,0,0,0,0,0,1,0,1,0
06-02-2016 00:40,4,0,0,0,0,0,1,2,0,0
06-02-2016 00:45,14,3,0,0,1,0,0,0,0,0
06-02-2016 00:50,8,0,0,0,0,0,0,0,0,0
06-02-2016 00:55,4,0,0,0,0,0,0,0,0,0
06-02-2016 01:00,6,0,0,0,0,0,0,0,0,0
06-02-2016 01:05,13,0,0,0,0,0,0,0,0,0
06-02-2016 01:10,8,0,3,0,0,0,1,0,0,0
06-02-2016 01:15,5,0,0,0,0,0,0,0,0,0
06-02-2016 01:20,6,3,0,0,0,0,0,0,0,0
06-02-2016 01:25,8,1,0,0,0,0,0,0,0,0
06-02-2016 01:30,20,0,0,0,0,0,0,0,0,1
06-02-2016 01:35,12,0,0,0,0,0,1,0,0,0
06-02-2016 01:40,12,0,0,0,0,0,0,0,3,0
06-02-2016 01:45,14,0,0,0,2,0,0,0,0,0
06-02-2016 01:50,8,0,0,0,0,1,0,0,0,0
06-02-2016 01:55,15,0,0,0,0,0,0,1,6,0
06-02-2016 02:00,12,3,0,0,2,0,0,0,4,0
06-02-2016 02:05,9,0,0,0,0,0,0,0,0,0
06-02-2016 02:10,13,0,0,0,0,1,0,0,1,0
06-02-2016 02:15,12,0,0,0,0,0,0,0,1,0
06-02-2016 02:20,20,8,0,0,0,0,0,0,0,0
06-02-2016 02:25,14,4,0,0,0,0,0,0,0,0
06-02-2016 02:30,8,0,0,0,0,0,0,0,2,0
06-02-2016 02:35,9,0,0,0,0,0,0,0,4,0
06-02-2016 02:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 02:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 02:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 02:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 03:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 04:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 04:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 04:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 04:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 04:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 04:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 04:30,42,0,1,0,1,0,1,0,1,0
06-02-2016 04:35,63,0,4,0,1,0,1,0,0,0
06-02-2016 04:40,48,1,0,1,5,0,0,0,2,0
06-02-2016 04:45,40,2,1,1,3,1,0,1,4,0
06-02-2016 04:50,41,0,0,0,4,1,0,5,2,0
06-02-2016 04:55,36,0,0,1,0,0,0,10,0,0
06-02-2016 05:00,31,0,0,0,1,1,0,0,0,1
06-02-2016 05:05,75,0,0,3,0,0,2,2,22,3
06-02-2016 05:10,277,0,3,0,2,0,0,1,240,0
06-02-2016 05:15,217,0,0,0,0,0,3,1,177,0
06-02-2016 05:20,54,0,0,0,2,1,4,2,8,11
06-02-2016 05:25,52,0,0,0,0,0,2,1,1,0
06-02-2016 05:30,55,0,0,1,3,1,1,1,6,0
06-02-2016 05:35,212,1,0,3,1,2,2,1,5,0
06-02-2016 05:40,41,0,0,0,3,0,1,0,4,0
06-02-2016 05:45,53,0,3,0,2,1,0,1,2,0
06-02-2016 05:50,57,1,0,6,1,0,1,1,2,2
06-02-2016 05:55,58,0,0,2,0,0,5,3,0,1
06-02-2016 06:00,94,0,3,1,2,0,0,3,2,0
06-02-2016 06:05,190,2,0,1,0,0,0,0,3,2
06-02-2016 06:10,155,0,0,5,1,1,1,0,0,0
06-02-2016 06:15,109,0,0,1,4,1,0,5,4,0
06-02-2016 06:20,85,0,3,1,0,0,1,2,1,1
06-02-2016 06:25,41,0,0,0,2,1,1,0,0,3
06-02-2016 06:30,36,0,0,0,9,0,4,0,4,11
06-02-2016 06:35,80,0,0,0,44,0,5,1,12,24
06-02-2016 06:40,73,0,0,0,19,0,3,1,2,40
06-02-2016 06:45,69,0,2,1,22,0,5,6,1,35
06-02-2016 06:50,62,0,0,1,13,2,6,0,1,51
06-02-2016 06:55,65,1,0,0,12,2,6,3,0,40
06-02-2016 07:00,59,1,0,0,29,0,5,0,0,28
06-02-2016 07:05,46,0,1,0,10,1,6,0,3,20
06-02-2016 07:10,52,0,1,2,1,0,2,0,2,15
06-02-2016 07:15,142,0,0,0,8,0,6,172,5,34
06-02-2016 07:20,105,1,0,0,11,1,4,97,6,23
06-02-2016 07:25,63,5,0,0,4,0,8,3,4,25
06-02-2016 07:30,34,0,0,1,6,1,2,4,5,16
06-02-2016 07:35,67,0,0,0,11,0,6,0,13,30
06-02-2016 07:40,56,0,0,0,19,0,7,0,6,18
06-02-2016 07:45,63,13,0,0,10,0,9,0,11,12
06-02-2016 07:50,72,45,0,0,2,0,6,2,6,6
06-02-2016 07:55,100,94,0,1,7,2,2,2,2,9
06-02-2016 08:00,105,63,0,0,4,5,1,46,4,22
06-02-2016 08:05,69,69,0,0,0,2,4,1,4,26
06-02-2016 08:10,86,49,0,0,0,1,13,0,4,15
06-02-2016 08:15,83,38,0,0,9,0,2,1,2,26
06-02-2016 08:20,55,45,0,0,9,0,4,0,6,17
06-02-2016 08:25,99,98,0,0,4,3,3,2,4,51
06-02-2016 08:30,110,91,0,0,0,3,9,17,17,25
06-02-2016 08:35,78,59,0,2,2,0,5,2,2,13
06-02-2016 08:40,49,48,0,0,0,0,2,0,0,19
06-02-2016 08:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 08:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 08:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 09:50,35,33,0,1,3,0,0,3,0,3
06-02-2016 09:55,119,69,3,0,2,1,3,44,4,12
06-02-2016 10:00,133,72,1,4,13,4,5,69,3,11
06-02-2016 10:05,177,111,2,5,12,3,3,138,6,14
06-02-2016 10:10,122,44,0,1,10,2,6,100,2,20
06-02-2016 10:15,146,35,0,1,13,1,1,163,0,19
06-02-2016 10:20,81,18,3,0,0,5,1,77,5,3
06-02-2016 10:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 10:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 11:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 12:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 13:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:15,0,0,0,0,0,0,0,0,0,0
